Geographic Area Name,ID,Total population,Percent Total population,Total population Male,Percent Total population Male,Total population Female,Percent Total population Female,Total population Hispanic or Latino (of any race),Percent Total population Hispanic or Latino (of any race),Total population White alone,Percent Total population White alone,Total population Black or African American alone,Percent Total population Black or African American alone,Total population American Indian and Alaska Native alone,Percent Total population American Indian and Alaska Native alone,Total population Asian alone,Percent Total population Asian alone,Total population Native Hawaiian and Other Pacific Islander alone,Percent Total population Native Hawaiian and Other Pacific Islander alone,Total population Some other race alone,Percent Total population Some other race alone,Total population Two or more races,Percent Total population Two or more races
Accomack County,b'0500000US51001',32673,32673,15934,48.8,16739,51.2,2929,9.0,19613,60.0,9331,28.6,175,0.5,265,0.8,0,0.0,50,0.2,310,0.9
Albemarle County,b'0500000US51003',107405,107405,51363,47.8,56042,52.2,6200,5.8,82656,77.0,10170,9.5,222,0.2,5544,5.2,41,0.0,142,0.1,2430,2.3
Alleghany County,b'0500000US51005',15157,15157,7367,48.6,7790,51.4,225,1.5,13863,91.5,881,5.8,0,0.0,16,0.1,0,0.0,29,0.2,143,0.9
Amelia County,b'0500000US51007',12953,12953,6580,50.8,6373,49.2,390,3.0,9533,73.6,2745,21.2,24,0.2,0,0.0,0,0.0,0,0.0,261,2.0
Amherst County,b'0500000US51009',31775,31775,15290,48.1,16485,51.9,766,2.4,23733,74.7,5692,17.9,212,0.7,162,0.5,19,0.1,198,0.6,993,3.1
Appomattox County,b'0500000US51011',15707,15707,7599,48.4,8108,51.6,260,1.7,12052,76.7,3095,19.7,5,0.0,12,0.1,0,0.0,0,0.0,283,1.8
Arlington County,b'0500000US51013',233464,233464,116785,50.0,116679,50.0,36375,15.6,143563,61.5,20740,8.9,554,0.2,23824,10.2,199,0.1,901,0.4,7308,3.1
Augusta County,b'0500000US51015',75079,75079,38267,51.0,36812,49.0,2118,2.8,68122,90.7,3107,4.1,176,0.2,460,0.6,93,0.1,134,0.2,869,1.2
Bath County,b'0500000US51017',4307,4307,2201,51.1,2106,48.9,159,3.7,3841,89.2,130,3.0,6,0.1,15,0.3,0,0.0,0,0.0,156,3.6
Bedford County,b'0500000US51019',78376,78376,38462,49.1,39914,50.9,1720,2.2,68746,87.7,5384,6.9,28,0.0,905,1.2,10,0.0,47,0.1,1536,2.0
Bland County,b'0500000US51021',6388,6388,3564,55.8,2824,44.2,81,1.3,5996,93.9,238,3.7,0,0.0,10,0.2,0,0.0,0,0.0,63,1.0
Botetourt County,b'0500000US51023',33343,33343,16365,49.1,16978,50.9,568,1.7,30970,92.9,988,3.0,50,0.1,223,0.7,0,0.0,0,0.0,544,1.6
Brunswick County,b'0500000US51025',16520,16520,8843,53.5,7677,46.5,370,2.2,6731,40.7,8945,54.1,0,0.0,85,0.5,0,0.0,25,0.2,364,2.2
Buchanan County,b'0500000US51027',21788,21788,10958,50.3,10830,49.7,106,0.5,20666,94.9,588,2.7,40,0.2,225,1.0,0,0.0,32,0.1,131,0.6
Buckingham County,b'0500000US51029',17059,17059,9363,54.9,7696,45.1,411,2.4,10438,61.2,5829,34.2,96,0.6,28,0.2,0,0.0,5,0.0,252,1.5
Campbell County,b'0500000US51031',55225,55225,26711,48.4,28514,51.6,1394,2.5,43941,79.6,7728,14.0,106,0.2,486,0.9,9,0.0,119,0.2,1442,2.6
Caroline County,b'0500000US51033',30381,30381,15102,49.7,15279,50.3,1466,4.8,19206,63.2,8138,26.8,78,0.3,273,0.9,0,0.0,111,0.4,1109,3.7
Carroll County,b'0500000US51035',29801,29801,15004,50.3,14797,49.7,1053,3.5,28163,94.5,163,0.5,76,0.3,17,0.1,0,0.0,0,0.0,329,1.1
Charles City County,b'0500000US51036',7014,7014,3430,48.9,3584,51.1,131,1.9,2970,42.3,3166,45.1,457,6.5,60,0.9,0,0.0,19,0.3,211,3.0
Charlotte County,b'0500000US51037',12040,12040,5926,49.2,6114,50.8,260,2.2,8172,67.9,3371,28.0,6,0.0,48,0.4,0,0.0,0,0.0,183,1.5
Chesterfield County,b'0500000US51041',343551,343551,165585,48.2,177966,51.8,30350,8.8,212269,61.8,78119,22.7,930,0.3,11769,3.4,149,0.0,720,0.2,9245,2.7
