Geographic Area Name,ID,Total Population 16 years and over with earnings,Total Population 16 years and over with earnings Median earnings  dollars,Total Population 16 years and over with earnings full time year round workers with earnings,Total Population 16 years and over with earnings 1 to 9999 or loss,Total Population 16 years and over with earnings 10000 to 14999,Total Population 16 years and over with earnings 15000 to 24999,Total Population 16 years and over with earnings 25000 to 34999,Total Population 16 years and over with earnings 35000 to 49999,Total Population 16 years and over with earnings 50000 to 64999,Total Population 16 years and over with earnings 65000 to 74999,Total Population 16 years and over with earnings 75000 to 99999,Total Population 16 years and over with earnings 100000 or more,Total Population 16 years and over with earnings Median earnings  dollars for full time year round workers with earnings,Total Population 16 years and over with earnings Mean earnings  dollars for full time year round workers with earnings,Percent Population 16 years and over with earnings,Percent Population 16 years and over with earnings full time year round workers with earnings,Percent Population 16 years and over with earnings 1 to 9999 or loss,Percent Population 16 years and over with earnings 10000 to 14999,Percent Population 16 years and over with earnings 15000 to 24999,Percent Population 16 years and over with earnings 25000 to 34999,Percent Population 16 years and over with earnings 35000 to 49999,Percent Population 16 years and over with earnings 50000 to 64999,Percent Population 16 years and over with earnings 65000 to 74999,Percent Population 16 years and over with earnings 75000 to 99999,Percent Population 16 years and over with earnings 100000 or more
Accomack County,b'0500000US51001',15165,27061,10311,337,640,2181,2156,2015,1164,579,576,663,33464,44773,15165,10311,3.3,6.2,21.2,20.9,19.5,11.3,5.6,5.6,6.4
Albemarle County,b'0500000US51003',60556,40124,37559,502,875,2851,4698,6766,6197,2271,4951,8448,56723,81400,60556,37559,1.3,2.3,7.6,12.5,18.0,16.5,6.0,13.2,22.5
Alleghany County,b'0500000US51005',6453,31700,4354,39,151,675,843,949,721,259,422,295,42213,51892,6453,4354,0.9,3.5,15.5,19.4,21.8,16.6,5.9,9.7,6.8
Amelia County,b'0500000US51007',6815,39509,4641,93,128,409,670,985,956,244,627,529,50513,60839,6815,4641,2.0,2.8,8.8,14.4,21.2,20.6,5.3,13.5,11.4
Amherst County,b'0500000US51009',15843,31904,10619,224,243,1566,1987,2521,1627,600,1222,629,41844,50269,15843,10619,2.1,2.3,14.7,18.7,23.7,15.3,5.7,11.5,5.9
Appomattox County,b'0500000US51011',7793,32652,5518,70,171,730,1084,1193,890,400,472,508,44135,53297,7793,5518,1.3,3.1,13.2,19.6,21.6,16.1,7.2,8.6,9.2
Arlington County,b'0500000US51013',158397,72069,113703,713,992,4728,5609,9013,15085,8572,20291,48700,87908,113318,158397,113703,0.6,0.9,4.2,4.9,7.9,13.3,7.5,17.8,42.8
Augusta County,b'0500000US51015',38735,34486,25772,494,745,2767,4535,6608,4451,1769,2559,1844,44455,55141,38735,25772,1.9,2.9,10.7,17.6,25.6,17.3,6.9,9.9,7.2
Bath County,b'0500000US51017',2201,31313,1347,0,15,298,307,314,97,103,118,95,39909,46229,2201,1347,0.0,1.1,22.1,22.8,23.3,7.2,7.6,8.8,7.1
Bedford County,b'0500000US51019',39876,36992,27132,518,564,2756,4305,6137,4607,1979,2550,3716,48049,61213,39876,27132,1.9,2.1,10.2,15.9,22.6,17.0,7.3,9.4,13.7
Bland County,b'0500000US51021',2706,31572,1807,72,27,323,325,430,249,69,163,149,39350,48139,2706,1807,4.0,1.5,17.9,18.0,23.8,13.8,3.8,9.0,8.2
Botetourt County,b'0500000US51023',17547,38419,11918,185,246,1212,1802,2415,2368,741,1175,1774,50480,63872,17547,11918,1.6,2.1,10.2,15.1,20.3,19.9,6.2,9.9,14.9
