Geographic Area Name,ID,Total Below poverty level,Total Below poverty level AGE Under 18 years,Total Below poverty level AGE 18 to 64 years,Total Below poverty level White alone,Total Below poverty level Black or African American alone,Total Below poverty level American Indian and Alaska Native alone,Total Below poverty level Asian alone,Total Below poverty level Native Hawaiian and Other Pacific Islander alone,Total Below poverty level Some other race alone,Total Below poverty level Two or more races,Total Below poverty level Hispanic or Latino origin (of any race),Total Below poverty level 25 years and over,Total Below poverty level 25 years and over Less than high school graduate,Total Below poverty level 25 years and over High school graduate (includes equivalency),Total Below poverty level 25 years and over Some college associate's degree,Total Below poverty level 25 years and over Bachelor's degree or higher,Total Below poverty level Civilian labor force 16 years and over,Total Below poverty level Civilian labor force 16 years and over Employed,Total Below poverty level Civilian labor force 16 years and over Unemployed,Total Percent below poverty level,Total Percent below poverty level AGE Under 18 years,Total Percent below poverty level AGE 18 to 64 years,Total Percent below poverty level White alone,Total Percent below poverty level Black or African American alone,Total Percent below poverty level American Indian and Alaska Native alone,Total Percent below poverty level Asian alone,Total Percent below poverty level Native Hawaiian and Other Pacific Islander alone,Total Percent below poverty level Some other race alone,Total Percent below poverty level Two or more races,Total Percent below poverty level Hispanic or Latino origin (of any race),Total Percent below poverty level 25 years and over,Total Percent below poverty level 25 years and over Less than high school graduate,Total Percent below poverty level 25 years and over High school graduate (includes equivalency),Total Percent below poverty level 25 years and over Some college associate's degree,Total Percent below poverty level 25 years and over Bachelor's degree or higher,Total Percent below poverty level Civilian labor force 16 years and over,Total Percent below poverty level Civilian labor force 16 years and over Employed,Total Percent below poverty level Civilian labor force 16 years and over Unemployed
Accomack County,b'0500000US51001',6141,2260,3204,3277,2656,7,7,0,44,150,1522,3019,1133,1128,631,127,1278,1115,163,19.0,32.8,17.6,14.9,28.8,4.0,2.6,,15.8,45.9,52.7,13.0,26.4,13.2,10.7,2.8,9.0,8.1,29.3
Albemarle County,b'0500000US51003',9142,2290,5971,6575,1639,54,572,0,38,264,846,5148,1139,1283,1291,1435,2716,2356,360,9.1,10.7,10.0,7.9,17.4,21.2,13.2,0.0,4.8,11.9,14.7,7.2,20.6,11.5,8.5,3.6,5.1,4.6,27.7
Alleghany County,b'0500000US51005',2925,881,1737,2454,354,0,0,0,14,103,39,1819,522,835,414,48,439,329,110,19.7,31.8,20.1,17.9,42.1,,0.0,,18.4,64.4,17.3,16.5,35.2,18.7,12.2,2.9,7.2,5.6,40.4
Amelia County,b'0500000US51007',1375,368,710,810,565,0,0,0,0,0,271,851,335,370,85,61,351,243,108,10.7,13.3,9.2,8.3,20.7,0.0,,,,0.0,69.5,9.3,23.1,9.8,3.5,3.9,5.3,3.8,48.0
Amherst County,b'0500000US51009',4327,1219,2518,2821,1122,25,40,0,22,297,206,2283,735,816,545,187,1180,828,352,14.0,19.8,13.7,11.9,20.2,11.8,25.6,0.0,7.7,29.7,29.0,10.1,22.9,10.0,7.9,4.3,7.8,5.8,40.3
Appomattox County,b'0500000US51011',2062,759,1111,1112,834,0,7,0,0,109,53,1119,245,478,322,74,476,451,25,13.2,22.8,12.1,9.1,26.9,0.0,58.3,,0.0,37.5,20.4,10.1,16.0,12.7,9.3,3.2,6.4,6.2,10.3
Arlington County,b'0500000US51013',15625,2717,10739,7482,2698,110,2955,0,1775,605,3805,10167,1966,1787,1945,4469,5646,4595,1051,6.8,6.6,6.5,4.5,13.1,13.9,12.4,0.0,16.0,6.8,10.6,5.9,20.4,13.6,10.2,3.4,3.7,3.1,26.1
Augusta County,b'0500000US51015',6128,1660,3541,5638,243,0,19,24,70,134,556,3781,977,1794,633,377,1429,1256,173,8.7,11.8,8.5,8.4,16.2,0.0,4.3,23.5,29.8,11.2,30.7,7.3,16.3,9.2,4.6,3.0,3.9,3.6,13.5
Bath County,b'0500000US51017',460,39,350,320,68,0,0,0,12,60,25,366,69,205,48,44,144,116,28,10.9,5.4,13.4,8.3,54.8,0.0,0.0,,30.8,33.5,16.1,11.9,24.3,15.6,4.9,8.9,6.8,5.9,16.4
Bedford County,b'0500000US51019',6917,1697,4175,5504,919,0,247,0,154,93,223,4376,1215,1593,1018,550,1658,1380,278,8.9,10.9,9.1,7.9,17.4,0.0,26.2,0.0,54.4,5.8,13.4,7.8,21.8,9.4,5.9,3.3,4.3,3.7,20.0
