,division_name,FIPS,division_number,1617_college_enroll,1718_college_enroll,1819_college_enroll,1920_college_enroll,2021_college_enroll,19_20_grade_12,19_20_total,20_21_grade_12,20_21_total,1920_enrollrate,2021_enrollrate
0,accomack county,51-001,1,965,909,874,832,916,368,5162,343,4864,0.442307692,0.374454148
1,albemarle county,51-003,2,4365,4301,4323,4267,3939,1096,14435,1075,13532,0.256854933,0.272911907
2,alleghany county,51-005,3,530,504,383,379,373,157,2024,162,1952,0.414248021,0.434316354
3,amelia county,51-007,4,464,481,480,467,401,128,1731,100,1627,0.274089936,0.249376559
4,amherst county,51-009,5,1073,1094,1013,963,916,289,4115,292,4045,0.300103842,0.318777293
5,appomattox county,51-011,6,521,527,526,508,513,150,2279,166,2272,0.295275591,0.323586745
6,arlington county,51-013,7,5151,5056,5021,5412,5402,1901,28151,1907,26833,0.351256467,0.353017401
7,augusta county,51-015,8,2243,2239,2187,2037,1943,760,10342,822,10150,0.373097693,0.423057128
8,bath county,51-017,9,164,151,136,183,125,31,529,35,521,0.169398907,0.28
9,bedford county,51-019,10,3124,3071,3120,3051,2717,758,9562,804,9175,0.248443133,0.295914612
10,bland county,51-021,11,235,220,228,205,197,45,693,64,670,0.219512195,0.324873096
11,botetourt county,51-023,12,1978,1800,1708,1499,1516,409,4672,381,4431,0.272848566,0.251319261
12,brunswick county,51-025,13,489,477,445,412,386,124,1538,98,1451,0.300970874,0.25388601
13,buchanan county,51-027,14,688,668,745,646,610,216,2676,209,2516,0.334365325,0.342622951
14,buckingham county,51-029,15,526,499,501,442,388,139,2113,129,2009,0.314479638,0.332474227
15,campbell county,51-031,16,1787,1747,1734,1713,1581,596,7921,572,7787,0.347927612,0.361796331
16,caroline county,51-033,17,791,832,839,821,823,268,4253,267,4131,0.326431181,0.324422843
17,carroll county,51-035,18,1027,966,899,882,770,267,3713,257,3552,0.302721088,0.333766234
18,charles city county,51-036,19,198,194,180,163,130,46,620,47,576,0.282208589,0.361538462
19,charlotte county,51-037,20,549,518,527,491,466,108,1763,121,1726,0.219959267,0.259656652
20,chesterfield county,51-041,21,16073,16426,15996,15943,15622,4755,62669,4796,60904,0.298250016,0.307002945
21,clarke county,51-043,22,637,637,631,626,569,168,1926,155,1745,0.268370607,0.272407733
22,craig county,51-045,23,194,187,166,138,132,51,588,40,546,0.369565217,0.303030303
23,culpeper county,51-047,24,1738,1818,1898,1858,1883,581,8521,558,8256,0.31270183,0.296335635
24,cumberland county,51-049,25,358,355,310,321,293,106,1321,98,1223,0.330218069,0.33447099
25,dickenson county,51-051,26,471,453,448,408,399,137,2064,124,1967,0.335784314,0.310776942
26,dinwiddie county,51-053,27,714,741,735,700,640,327,4347,302,4209,0.467142857,0.471875
27,essex county,51-057,28,429,388,373,379,337,101,1320,97,1224,0.266490765,0.287833828
