,locality,2020-03_hosps,2020-04_hosps,2020-05_hosps,2020-06_hosps,2020-07_hosps,2020-08_hosps,2020-09_hosps,2020-10_hosps,2020-11_hosps,2020-12_hosps,2021-01_hosps,2021-02_hosps,2021-03_hosps,2021-04_hosps,2021-05_hosps,2020-03_deaths,2020-04_deaths,2020-05_deaths,2020-06_deaths,2020-07_deaths,2020-08_deaths,2020-09_deaths,2020-10_deaths,2020-11_deaths,2020-12_deaths,2021-01_deaths,2021-02_deaths,2021-03_deaths,2021-04_deaths,2021-05_deaths,2020-03_cases,2020-04_cases,2020-05_cases,2020-06_cases,2020-07_cases,2020-08_cases,2020-09_cases,2020-10_cases,2020-11_cases,2020-12_cases,2021-01_cases,2021-02_cases,2021-03_cases,2021-04_cases,2021-05_cases
0,Accomack,3,18,49,71,77,88,90,97,107,124,166,183,199,205,209,0,4,12,14,15,19,19,19,21,27,31,35,39,41,42,7,264,909,1042,1074,1145,1182,1223,1346,1698,2342,2602,2709,2810,2845
1,Albemarle,1,16,19,28,52,65,76,96,100,133,156,184,201,217,226,0,4,8,8,11,18,21,24,27,31,35,60,77,83,83,21,103,187,401,735,1034,1306,1612,1908,2808,3924,4840,5275,5704,5786
2,Alexandria,2,97,190,238,269,298,323,327,364,431,489,507,531,557,564,0,21,44,57,58,64,69,75,77,87,104,118,130,134,135,30,754,1974,2325,2798,3378,3852,4337,5366,7298,9435,10328,10940,11645,11818
3,Alleghany,1,4,4,5,5,8,8,13,19,31,50,54,58,58,61,0,0,2,2,3,4,4,4,7,23,31,44,49,48,49,1,6,20,31,57,65,79,123,320,767,1122,1250,1272,1336,1366
4,Amelia,2,6,8,11,13,13,14,17,21,29,35,41,45,50,54,1,1,1,1,1,3,5,6,6,7,10,20,29,31,32,2,15,25,44,72,98,124,148,217,352,640,767,820,878,914
5,Amherst,0,2,3,3,4,9,14,25,31,41,58,77,105,121,123,0,1,0,0,0,1,4,6,6,10,11,23,36,35,37,3,12,27,36,105,290,403,623,819,1443,2380,2674,2788,2902,2938
6,Appomattox,0,0,1,2,2,9,13,18,25,30,41,49,63,67,69,0,0,0,0,0,1,3,6,6,7,8,17,23,24,25,0,20,31,40,68,169,216,308,405,716,1241,1411,1478,1579,1595
7,Arlington,8,167,373,418,434,467,500,541,589,656,729,769,802,829,848,2,41,115,132,136,138,150,154,157,181,201,227,246,252,256,104,967,2116,2479,2897,3555,3995,4714,6299,8872,11691,13151,14227,15089,15285
8,Augusta,0,2,4,8,9,18,23,31,43,76,117,144,152,166,174,0,1,1,2,4,4,7,9,11,29,48,56,70,70,72,0,43,109,185,249,364,512,707,1177,3307,4754,5196,5398,5724,5849
9,Bath,0,0,0,0,0,0,0,1,1,3,5,6,7,7,10,0,0,0,0,0,0,1,0,0,0,8,10,12,10,10,0,0,0,0,4,4,15,26,62,153,241,246,251,266,273
10,Bedford,0,1,2,2,8,23,41,61,80,94,122,150,197,216,234,0,0,2,3,6,8,13,18,19,31,39,68,98,99,102,2,30,57,118,286,546,786,1297,1839,3107,5171,5787,6082,6258,6441
11,Bland,0,0,0,0,0,1,3,4,7,13,19,20,22,25,27,0,0,0,0,0,0,5,5,5,6,9,9,10,10,10,0,0,0,2,7,47,65,78,194,480,603,622,641,668,679
12,Botetourt,2,9,9,12,13,20,24,26,33,39,46,51,56,64,65,1,3,4,4,5,8,10,12,13,17,21,26,34,36,38,5,28,32,121,185,249,306,451,778,1292,1866,2216,2411,2499,2539
13,Bristol,0,0,1,1,6,8,10,19,28,42,72,75,84,91,106,0,0,0,0,0,2,5,7,7,8,24,29,31,33,34,1,1,4,4,57,121,187,314,533,917,1182,1219,1282,1461,1544
14,Brunswick,1,3,6,15,24,25,29,30,33,42,47,52,53,53,53,0,0,1,1,1,2,5,5,7,8,9,16,20,21,23,1,14,25,103,197,293,361,424,471,641,1089,1195,1256,1296,1322
