,distid,distname,ncesdistid,ncesid,dist_pp_19
0,1,Accomack County Public Schools,5100060,510006000000.0,12095.545454545454
11,2,Albemarle County Public Schools,5100090,510009000000.0,14344.04347826087
34,101,Alexandria Public Schools,5100120,510012000000.0,17924.352941176472
51,3,Alleghany County Public Schools,5100152,510015000000.0,11523.0
56,4,Amelia County Public Schools,5100180,510018000000.0,9530.666666666666
59,5,Amherst County Public Schools,5100210,510021000000.0,10344.444444444445
68,6,Appomattox County Public Schools,5100240,510024000000.0,9708.5
72,7,Arlington County Public Schools,5100270,510027000000.0,18446.5625
104,8,Augusta County Public Schools,5100300,510030000000.0,12494.857142857143
118,9,Bath County Public Schools,5100330,510033000000.0,17281.666666666668
121,10,Bedford County Public Schools,5100360,510036000000.0,10645.105263157895
140,11,Bland County Public Schools,5100390,510039000000.0,10579.5
142,12,Botetourt County Public Schools,5100420,510042000000.0,11010.545454545454
153,102,Bristol Public Schools,5100450,510045000000.0,10702.0
159,13,Brunswick County Public Schools,5100480,510048000000.0,12825.2
164,14,Buchanan County Public Schools,5100510,510051000000.0,11082.0
172,15,Buckingham County Public Schools,5100540,510054000000.0,10572.0
176,103,Buena Vista Public Schools,5100560,510056000000.0,11400.25
180,16,Campbell County Public Schools,5100600,510060000000.0,9900.153846153846
193,17,Caroline County Public Schools,5100660,510066000000.0,10216.4
198,18,Carroll County Public Schools,5100690,510069000000.0,10782.0
207,19,Charles County Public Schools,5100720,510072000000.0,15400.5
209,20,Charlotte County Public Schools,5100750,510075000000.0,13262.8
214,104,Charlottesville Public Schools,5100780,510078000000.0,16110.555555555555
223,136,Chesapeake Public Schools,5100810,510081000000.0,11329.488888888889
268,21,Chesterfield County Public Schools,5100840,510084000000.0,10074.639344262296
329,22,Clarke County Public Schools,5100870,510087000000.0,11668.0
333,202,Colonial Beach Public Schools,5100930,510093000000.0,11049.5
335,106,Colonial Heights Public Schools,5100960,510096000000.0,12214.8
340,107,Covington Public Schools,5100990,510099000000.0,10060.666666666666
343,23,Craig County Public Schools,5101020,510102000000.0,10887.0
345,24,Culpeper County Public Schools,5101050,510105000000.0,10153.1
355,25,Cumberland County Public Schools,5101080,510108000000.0,10986.333333333334
358,108,Danville Public Schools,5101110,510111000000.0,12183.818181818182
369,26,Dickenson County Public Schools,5101140,510114000000.0,11409.4
374,27,Dinwiddie County Public Schools,5101170,510117000000.0,10988.57142857143
381,28,Essex County Public Schools,5101200,510120000000.0,12719.666666666666
384,29,Fairfax County Public Schools,5101260,510126000000.0,16226.319371727748
575,109,Falls Church Public Schools,5101290,510129000000.0,19378.75
579,30,Fauquier County Public Schools,5101320,510132000000.0,12761.473684210527
598,31,Floyd County Public Schools,5101350,510135000000.0,11262.2
603,32,Fluvanna County Public Schools,5101380,510138000000.0,10823.0
608,135,Franklin Public Schools,5101410,510141000000.0,13867.333333333334
611,33,Franklin County Public Schools,5101440,510144000000.0,11429.307692307691
624,34,Frederick County Public Schools,5101470,510147000000.0,11991.444444444445
642,110,Fredericksburg Public Schools,5101510,510151000000.0,13153.25
646,111,Galax Public Schools,5101560,510156000000.0,10332.666666666666
649,35,Giles County Public Schools,5101590,510159000000.0,9929.8
654,36,Gloucester County Public Schools,5101620,510162000000.0,10990.125
662,37,Goochland County Public Schools,5101650,510165000000.0,12015.2
667,38,Grayson County Public Schools,5101690,510169000000.0,11508.166666666666
673,39,Greene County Public Schools,5101710,510171000000.0,11089.8
678,40,Greensville County Public Schools,5101740,510174000000.0,11545.75
682,41,Halifax County Public Schools,5101770,510177000000.0,11586.111111111111
691,112,Hampton Public Schools,5101800,510180000000.0,10910.620689655172
720,42,Hanover County Public Schools,5101830,510183000000.0,10507.285714285714
741,113,Harrisonburg Public Schools,5101860,510186000000.0,12046.666666666666
750,43,Henrico County Public Schools,5101890,510189000000.0,9805.283582089553
817,44,Henry County Public Schools,5101920,510192000000.0,9566.692307692309
830,45,Highland County Public Schools,5101950,510195000000.0,18850.5
832,114,Hopewell Public Schools,5101980,510198000000.0,11959.2
837,46,Isle of Wight County Public Schools,5102010,510201000000.0,10453.444444444445
846,48,King George County Public Schools,5102100,510210000000.0,9927.0
851,50,King William County Public Schools,5102120,510212000000.0,11267.5
855,49,King and Queen County Public Schools,5102070,510207000000.0,13361.333333333334
858,51,Lancaster County Public Schools,5102160,510216000000.0,13176.0
861,52,Lee County Public Schools,5102190,510219000000.0,11150.6
871,137,Lexington Public Schools,5102220,510222000000.0,10633.5
873,53,Loudoun County Public Schools,5102250,510225000000.0,15336.444444444445
963,54,Louisa County Public Schools,5102280,510228000000.0,11592.0
969,55,Lunenburg County Public Schools,5102310,510231000000.0,6476.5
973,115,Lynchburg Public Schools,5102340,510234000000.0,11551.25
989,56,Madison County Public Schools,5102370,510237000000.0,11548.0
993,143,Manassas Public Schools,5102360,510236000000.0,12782.111111111111
1002,144,Manassas Park Public Schools,5102390,510239000000.0,10193.5
1006,116,Martinsville Public Schools,5102400,510240000000.0,12339.5
1010,57,Mathews County Public Schools,5102430,510243000000.0,12239.666666666666
1013,58,Mecklenburg County Public Schools,5102460,510246000000.0,12149.625
1021,59,Middlesex County Public Schools,5102490,510249000000.0,15358.5
1023,60,Montgomery County Public Schools,5102520,510252000000.0,10994.368421052632
1042,62,Nelson County Public Schools,5102580,510258000000.0,13782.5
1046,63,New Kent County Public Schools,5102610,510261000000.0,9509.0
1050,117,Newport News Public Schools,5102640,510264000000.0,11056.315789473685
1088,118,Norfolk Public Schools,5102670,510267000000.0,10441.511627906977
1131,65,Northampton County Public Schools,5102710,510271000000.0,11580.5
1135,66,Northumberland County Public Schools,5102730,510273000000.0,12959.0
1138,119,Norton Public Schools,5102760,510276000000.0,8744.0
1140,67,Nottoway County Public Schools,5102790,510279000000.0,10145.0
1145,68,Orange County Public Schools,5102820,510282000000.0,10469.777777777777
1154,69,Page County Public Schools,5102850,510285000000.0,9715.25
1162,70,Patrick County Public Schools,5102880,510288000000.0,10080.714285714286
1169,120,Petersburg Public Schools,5102910,510291000000.0,11425.0
1175,71,Pittsylvania County Public Schools,5102940,510294000000.0,10162.055555555555
1193,142,Poquoson Public Schools,5102980,510298000000.0,10144.25
1197,121,Portsmouth Public Schools,5103000,510300000000.0,10981.842105263158
1216,72,Powhatan County Public Schools,5103030,510303000000.0,10891.8
1221,73,Prince Edward County Public Schools,5103060,510306000000.0,10222.333333333334
1224,74,Prince George County Public Schools,5103090,510309000000.0,9935.142857142857
1231,75,Prince William County Public Schools,5103130,510313000000.0,11049.96590909091
1319,77,Pulaski County Public Schools,5103150,510315000000.0,10868.285714285714
1326,122,Radford Public Schools,5103180,510318000000.0,10239.0
1330,78,Rappahannock County Public Schools,5103210,510321000000.0,15226.5
1332,123,Richmond Public Schools,5103240,510324000000.0,16323.585365853658
1373,79,Richmond County Public Schools,5103270,510327000000.0,10340.5
1375,124,Roanoke Public Schools,5103300,510330000000.0,12768.041666666666
1399,80,Roanoke County Public Schools,5103330,510333000000.0,10370.615384615385
1425,81,Rockbridge County Public Schools,5103370,510337000000.0,12332.0
1431,82,Rockingham County Public Schools,5103390,510339000000.0,11325.173913043478
1454,83,Russell County Public Schools,5103420,510342000000.0,9910.90909090909
1465,139,Salem Public Schools,5103460,510346000000.0,10448.666666666666
1471,84,Scott County Public Schools,5103480,510348000000.0,10023.76923076923
1484,85,Shenandoah County Public Schools,5103510,510351000000.0,11102.555555555555
1493,86,Smyth County Public Schools,5103520,510352000000.0,10084.23076923077
1506,87,Southampton County Public Schools,5103600,510360000000.0,10295.333333333334
1512,88,Spotsylvania County Public Schools,5103640,510364000000.0,10988.48275862069
1541,89,Stafford County Public Schools,5103660,510366000000.0,9783.6
1571,126,Staunton Public Schools,5103690,510369000000.0,11029.0
1576,127,Suffolk Public Schools,5103710,510371000000.0,10407.368421052632
1595,90,Surry County Public Schools,5103750,510375000000.0,20402.333333333332
1598,91,Sussex County Public Schools,5103780,510378000000.0,16809.333333333332
1601,92,Tazewell County Public Schools,5103810,510381000000.0,8637.461538461539
1614,128,Virginia Beach Public Schools,5103840,510384000000.0,11464.256097560976
1696,93,Warren County Public Schools,5103870,510387000000.0,10417.111111111111
1705,94,Washington County Public Schools,5103900,510390000000.0,10317.666666666666
1720,130,Waynesboro Public Schools,5103930,510393000000.0,11234.0
1726,207,West Point Public Schools,5103950,510395000000.0,15213.5
1728,95,Westmoreland County Public Schools,5103980,510398000000.0,13148.0
1732,131,Williamsburg-James County Public Schools,5104020,510402000000.0,12108.1875
1748,132,Winchester Public Schools,5104050,510405000000.0,12881.285714285714
1755,96,Wise County Public Schools,5104080,510408000000.0,8715.272727272728
1766,97,Wythe County Public Schools,5104110,510411000000.0,10139.916666666666
1778,98,York County Public Schools,5104150,510415000000.0,10531.842105263158
