,ncesdistid,div_num,fips,lea_name_19_20,students_19_20,teachers_19_20,schools_19_20,locale_19_20,student_teacher_ratio_19_20,inexperienced_teachers_19_20,out_of_field_teachers_19_20,student_psychologists_ratio_19_20,student_support_staff_ratio_19_20,student_counselors_ratio_19_20,student_librarians_media_specialists_ratio_19_20,percent_title1_schools_19_20,dist_pp_19,student_white 19_20,student_white_20_21,disadv_native_19_20,disadv_asian_19_20,disadv_black_19_20,disadv_hisp_19_20,disadv_api_19_20,disadv_multi_19_20,disadv_white_19_20,disadv_native_20_21,disadv_asian_20_21,disadv_api_19_20.1,disadv_multi_19_20.1,disadv_white_19_20.1,disadv_native_20_21.1,disadv_asian_20_21.1,disadv_black_20_21,disadv_hisp_20_21,disadv_api_20_21,disadv_multi_20_21,disadv_white_20_21,2016allgrad,2016asiangrad,2016blackgrad,2016hispanicgrad,2016whitegrad,2017allgrad,2017asiangrad,2017blackgrad,2017hispanicgrad,2017whitegrad,2018allgrad,2018asiangrad,2018blackgrad,2018hispanicgrad,2018whitegrad,2019allgrad,2019asiangrad,2019blackgrad,2019hispanicgrad,2019whitegrad,2020allgrad,2020asiangrad,2020blackgrad,2020hispanicgrad,2020whitegrad,2016alldrop,2016asiandrop,2016blackdrop,2016hispanicdrop,2016whitedrop,2017alldrop,2017asiandrop,2017blackdrop,2017hispanicdrop,2017whitedrop,2018alldrop,2018asiandrop,2018blackdrop,2018hispanicdrop,2018whitedrop,2019alldrop,2019asiandrop,2019blackdrop,2019hispanicdrop,2019whitedrop,2020alldrop,2020asiandrop,2020blackdrop,2020hispanicdrop,2020whitedrop,adult_earn_low,adult_earn_mid,adult_earn_high,total_poverty,tot_pop_hisp,tot_pop_hisp,tot_pop_black,tot_pop_native,tot_pop_asian,tot_pop_api,tot_pop_other,tot_pop_multi,hosps_2021_05,tot_hosps_proportion,deaths_2021_05,tot_deaths_proportion,cases_2021_05,tot_cases_proportion,1920_enrollrate,2021_enrollrate,LAT,LON,student_bipoc_1920,student_bipoc_2021
0,5100060,1,51-001,ACCOMACK CO PBLC SCHS,5161,320.0,13,Rural,16.1,0.089,0.081,1720.3,166.5,184.3,245.8,0.462,12095.54545,0.370592794,0.369654605,0.0,0.006007209,0.475370445,0.216259511,0.0,0.01361634,0.288746496,0.0,0.006263982,0.0,0.01361634,0.288746496,0.0,0.006263982,0.481431767,0.208948546,0.0,0.017449664,0.28590604,0.89,,0.86,0.9,0.9,0.9,,0.85,0.83,0.95,0.86,,0.85,0.83,0.88,0.92,,0.91,0.86,0.95,0.77,,0.85,0.87,0.65,0.07,,0.1,0.07,0.05,0.06,,0.07,0.15,0.03,0.09,,0.08,0.13,0.08,0.08,,0.08,0.14,0.04,0.07,,0.07,0.1,0.06,0.307,0.517,0.17600000000000002,0.19,9.0,60.0,28.6,0.5,0.8,0.0,0.2,0.9,209.0,0.007120711,42.0,0.018018018,2845.0,0.004238968,0.442307692,0.374454148,37.72015,-75.671431,0.6294072060000001,0.630345395
1,5100090,2,51-003,ALBEMARLE CO PBLC SCHS,14404,1082.9,26,Rural,13.3,0.038,0.04,1210.4,57.8,135.2,481.7,0.231,14344.04348,0.634083824,0.614395507,0.0,0.045304389,0.245398773,0.320906088,0.0,0.071731949,0.316658801,0.0,0.044880785,0.0,0.071731949,0.316658801,0.0,0.044880785,0.230247779,0.328424497,0.0,0.075502571,0.320944367,0.95,0.98,0.94,0.87,0.97,0.95,1.0,0.94,0.91,0.95,0.93,0.94,0.9,0.76,0.96,0.94,1.0,0.91,0.8,0.97,0.92,0.88,0.93,0.76,0.95,0.03,0.02,0.02,0.1,0.02,0.03,0.0,0.02,0.07,0.03,0.05,0.02,0.09,0.17,0.02,0.04,0.0,0.07,0.18,0.02,0.05,0.1,0.01,0.22,0.02,0.11199999999999999,0.47,0.41700000000000004,0.091,5.8,77.0,9.5,0.2,5.2,0.0,0.1,2.3,226.0,0.039809759,83.0,0.035607036,5786.0,0.008620972,0.256854933,0.272911907,38.035,-78.4823,0.365916176,0.38560449399999996
2,5100120,101,51-510,ALEXANDRIA CITY PBLC SCHS,16295,880.5,19,City,18.5,0.152,0.045,910.3,108.8,1357.9,592.5,0.421,17924.35294,0.282271417,0.279394131,2.51e-07,0.057168968,0.325548335,0.513809911,0.001320065,0.012388302,0.087327376,0.002305533,0.061246993,0.001320065,0.012388302,0.087327376,0.002305533,0.061246993,0.324879711,0.505914194,0.001102646,0.014635124,0.089915798,0.82,1.0,0.85,0.71,0.93,0.83,0.9,0.88,0.73,0.94,0.81,0.94,0.9,0.64,0.94,0.83,0.84,0.89,0.71,0.97,0.82,0.96,0.93,0.69,0.97,0.11,0.0,0.07,0.19,0.04,0.12,0.06,0.07,0.22,0.03,0.1,0.02,0.02,0.22,0.03,0.08,0.08,0.02,0.16,0.01,0.14,0.04,0.05,0.25,0.02,0.086,0.337,0.5770000000000001,0.10300000000000001,16.7,51.9,21.1,0.1,5.8,0.0,0.3,4.1,564.0,0.099348247,135.0,0.057915058,11818.0,0.017608477,0.174703131,0.188403042,38.81542,-77.051671,0.717728584,0.7206058689999999
3,5100152,3,51-005,ALLEGHANY CO PBLC SCHS,2024,154.3,5,Rural,13.1,0.072,0.039,2024.0,89.2,190.9,421.7,0.6,11523.0,0.882411067,0.879610656,0.0,0.0,0.059311981,0.017793594,0.0,0.066429419,0.856465006,0.0,0.0,0.0,0.066429419,0.856465006,0.0,0.0,0.067088608,0.016455696,0.0,0.06835443,0.848101266,0.93,,0.86,,0.94,0.91,,0.89,,0.91,0.94,,0.88,,0.94,0.94,,0.86,,0.94,0.97,,,,0.97,0.05,,0.05,,0.05,0.05,,0.11,,0.05,0.03,,0.06,,0.03,0.03,,0.07,,0.03,0.02,,,,0.02,0.19899999999999998,0.578,0.22399999999999998,0.19699999999999998,1.5,91.5,5.8,0.0,0.1,0.0,0.2,0.9,61.0,0.010745112,49.0,0.021021021,1366.0,0.0020353,0.414248021,0.434316354,37.789012,-79.881608,0.11758893200000001,0.12038934399999998
4,5100180,4,51-007,AMELIA CO PBLC SCHS,1729,115.0,3,Rural,15.0,0.124,0.007,1729.0,123.5,172.9,432.2,0.333,9530.666667,0.671865973,0.660725261,0.0,0.0,0.281100479,0.081339713,0.0,0.093301435,0.544258373,0.0,0.0,0.0,0.093301435,0.544258373,0.0,0.0,0.276470588,0.077941176,0.0,0.097058824,0.548529412,0.97,,0.97,,0.97,0.94,,1.0,,0.92,0.9,,0.85,,0.92,0.97,,1.0,,0.96,0.98,,0.97,1.0,0.98,0.03,,0.03,,0.03,0.06,,0.0,,0.08,0.04,,0.04,,0.03,0.03,,0.0,,0.04,0.01,,0.0,0.0,0.01,0.136,0.562,0.302,0.107,3.0,73.6,21.2,0.2,0.0,0.0,0.0,2.0,54.0,0.009512066,32.0,0.013728014,914.0,0.001361833,0.274089936,0.249376559,37.334093,-77.988785,0.32813402599999997,0.33927473799999996
5,5100210,5,51-009,AMHERST CO PBLC SCHS,4115,296.2,9,Rural,13.9,0.021,0.021,1371.7,99.6,147.0,304.8,0.667,10344.44444,0.667071689,0.661804697,3.52362e-05,0.0,0.255572065,0.062407132,0.0,0.109955424,0.557701833,0.013677812,0.0,0.0,0.109955424,0.557701833,0.013677812,0.0,0.245187437,0.059777102,0.0,0.114488349,0.566869301,0.91,,0.9,0.9,0.93,0.96,,0.96,,0.95,0.93,,0.94,,0.94,0.86,,0.83,0.88,0.9,0.95,,0.97,1.0,0.95,0.03,,0.04,0.0,0.02,0.02,,0.02,,0.02,0.05,,0.04,,0.04,0.07,,0.09,0.06,0.05,0.03,,0.02,0.0,0.03,0.191,0.5770000000000001,0.231,0.14,2.4,74.7,17.9,0.7,0.5,0.1,0.6,3.1,123.0,0.021666373,37.0,0.015873016,2938.0,0.004377535,0.300103842,0.318777293,37.58227,-79.048071,0.332928311,0.338195303
6,5100240,6,51-011,APPOMATTOX CO PBLC SCHS,2279,154.3,4,Rural,14.8,0.107,0.112,2279.0,101.3,175.3,303.9,0.5,9708.5,0.653795524,0.654929578,0.0,0.0,0.332722273,0.044912924,0.0,0.13015582,0.492208983,0.0,0.0,0.0,0.13015582,0.492208983,0.0,0.0,0.333061225,0.044897959,0.0,0.131428571,0.490612245,0.92,,0.93,,0.91,0.95,,0.97,,0.95,0.94,,0.98,,0.92,0.93,,0.97,,0.93,0.91,,0.89,,0.91,0.04,,0.02,,0.05,0.02,,0.0,,0.02,0.04,,0.02,,0.05,0.04,,0.03,,0.04,0.02,,0.03,,0.03,0.17600000000000002,0.573,0.25,0.132,1.7,76.7,19.7,0.0,0.1,0.0,0.0,1.8,69.0,0.012154307,25.0,0.010725011,1595.0,0.002376504,0.295275591,0.323586745,37.3552,-78.8294,0.34620447600000004,0.345070423
7,5100270,7,51-013,ARLINGTON CO PBLC SCHS,28151,1921.1,41,City,14.7,0.036,0.02,612.0,85.2,150.5,339.2,0.195,18446.5625,0.451387162,0.439757016,6.31e-07,0.12346305,0.195208518,0.582583344,0.0,0.019267334,0.075548232,0.003116798,0.119750656,0.0,0.019267334,0.075548232,0.003116798,0.119750656,0.204560368,0.56578084,0.0,0.023293963,0.083497375,0.91,0.96,0.94,0.77,0.99,0.91,0.95,0.92,0.78,0.98,0.92,0.95,0.94,0.82,0.99,0.92,0.96,0.95,0.81,0.99,0.93,0.97,0.99,0.83,0.99,0.05,0.02,0.02,0.16,0.0,0.07,0.03,0.04,0.18,0.01,0.05,0.01,0.02,0.14,0.0,0.06,0.02,0.03,0.15,0.01,0.05,0.01,0.01,0.14,0.0,0.057,0.261,0.6809999999999999,0.068,15.6,61.5,8.9,0.2,10.2,0.1,0.4,3.1,848.0,0.14937467,256.0,0.10982411,15285.0,0.022774207,0.351256467,0.353017401,38.872682,-77.083473,0.5486128379999999,0.560242984
8,5100300,8,51-015,AUGUSTA CO PBLC SCHS,10339,739.1,18,Rural,14.0,0.028,0.014,2067.8,277.9,165.7,552.9,0.5,12494.85714,0.857474376,0.845123153,1.81362e-06,0.010435225,0.042504454,0.102825146,0.0,0.058793586,0.782641894,0.003707929,0.011409013,0.0,0.058793586,0.782641894,0.003707929,0.011409013,0.041642898,0.091272105,0.0,0.069309755,0.7826583,0.92,,0.82,0.86,0.93,0.91,,0.8,0.88,0.92,0.95,,0.85,0.82,0.96,0.93,,0.92,0.86,0.93,0.94,,0.94,0.94,0.94,0.05,,0.14,0.1,0.04,0.05,,0.07,0.1,0.04,0.03,,0.0,0.11,0.02,0.03,,0.08,0.09,0.02,0.03,,0.06,0.06,0.03,0.155,0.605,0.24,0.087,2.8,90.7,4.1,0.2,0.6,0.1,0.2,1.2,174.0,0.030649991,72.0,0.030888031,5849.0,0.00871484,0.373097693,0.423057128,38.19296,-79.014181,0.14252562400000002,0.15487684699999998
9,5100330,9,51-017,BATH CO PBLC SCHS,529,51.7,3,Rural,10.2,0.116,0.029,inf,91.2,88.2,264.5,0.667,17281.66667,0.918714556,0.909788868,0.0,0.0,0.0,0.0,0.0,0.047794118,0.952205882,0.0,0.0,0.0,0.047794118,0.952205882,0.0,0.0,0.033333333,0.0,0.0,0.043333333,0.923333333,0.94,,,,0.93,0.91,,,,0.9,0.94,,,,0.93,0.88,,,,0.86,0.94,,,,0.93,0.02,,,,0.02,0.07,,,,0.08,0.02,,,,0.02,0.06,,,,0.07,0.06,,,,0.07,0.23199999999999998,0.5329999999999999,0.235,0.109,3.7,89.2,3.0,0.1,0.3,0.0,0.0,3.6,10.0,0.001761494,10.0,0.004290004,273.0,0.000406762,0.169398907,0.28,38.045289,-79.78744,0.081285445,0.090211133
