,lea_name_19_20,students_19_20,teachers_19_20,schools_19_20,locale_19_20,dist_pp_19,student_teacher_ratio_19_20,student_school_psychologists_ratio_19_20,student_support_services_staff_ratio_19_20,student_school_counselors_ratio_19_20,student_librarians_media_specialists_ratio_19_20,percent_title_1_schools_19_20,percent_title_1_schoolwide_schools_19_20,percent_of_inexperienced_teachers_19_20,percent_of_out_of_field_teachers_19_20,tech_grant_percent_schools_participation,1920_enrollrate,2021_enrollrate,percent_students_bipoc_19,percent_students_bipoc_21,19_20_asian,19_20_asian_disadv,19_20_black_not_hisp,19_20_black_not_hisp_disadv,19_20_hisp,19_20_hisp_disadv,19_20_white_not_hisp,19_20_white_not_hisp_disadv,20_21_asian,20_21_asian_disadv,20_21_black_not_hisp,20_21_black_not_hisp_disadv,20_21_hisp,20_21_hisp_disadv,20_21_white_not_hisp,20_21_white_not_hisp_disadv,avg_grad_rate_16_19_total,avg_grad_rate_16_19_asian,avg_grad_rate_16_19_black,avg_grad_rate_16_19_hisp,avg_grad_rate_16_19_white,2020allgrad,2020asiangrad,2020blackgrad,2020hispanicgrad,2020whitegrad,avg_drop_rate_16_19_total,avg_drop_rate_16_19_black,avg_drop_rate_16_19_asian,avg_drop_rate_16_19_white,avg_drop_rate_16_19_hisp,2020alldrop,2020asiandrop,2020blackdrop,2020hispanicdrop,2020whitedrop,total_population,median_income,total_percent_below_poverty_level,percent_county_bipoc_19,percent_total_population_hispanic,percent_total_population_white_alone,percent_total_population_black_or_african_american_alone,percent_total_population_asian_alone,total_household,smartphone_with_no_other_type_of_computing_device,no_computer,cellular_data_plan_no_internet_subscription,without_an_internet_subscription_total,2020_12_hosps_rate,2020_12_deaths_rate,2020_12_cases_rate,LAT,LON
0,ACCOMACK CO PBLC SCHS,5161,320.0,13,1,12095.54545,16.1,1720.3,166.5,184.3,245.8,0.462,1.0,0.08900000000000001,0.081,0.8461538461538461,0.44230769200000003,0.374454148,0.61487795431,0.6130756579,0.006780317709999999,0.00600720865,0.3709802402,0.47537044450000004,0.2371173964,0.21625951140000002,0.37059279349999996,0.2887464958,0.0078125,0.006263982099999999,0.3735608553,0.4814317673,0.2317023026,0.2089485459,0.3696546053,0.2859060403,0.8925,,0.8675,0.855,0.9199999999999999,0.77,,0.85,0.87,0.65,0.075,0.0825,,0.05,0.1225,0.07,,0.07,0.1,0.06,32673.0,46073.0,0.19,0.384,0.09,0.6,0.28600000000000003,0.008,,,,,,0.07302709069493522,0.015901060070671377,0.05196951611422275,37.72015,-75.67143100000001
1,ALBEMARLE CO PBLC SCHS,14404,1082.9,26,1,14344.043480000002,13.3,1210.4,57.8,135.2,481.7,0.231,0.0,0.038,0.04,0.9615384615384616,0.256854933,0.272911907,0.30031174232,0.3179869938,0.05119501212,0.04530438886000001,0.10987183930000001,0.24539877300000001,0.1392448909,0.32090608779999996,0.634083824,0.3166588013,0.0563848655,0.04488078541,0.1126958321,0.23024777929999998,0.1489062962,0.3284244974,0.6143955069,0.32094436649999997,0.9425,0.98,0.9225,0.835,0.9624999999999999,0.92,0.88,0.93,0.76,0.95,0.0375,0.05,0.01,0.022500000000000003,0.13,0.05,0.1,0.01,0.22,0.02,107405.0,79880.0,0.091,0.20500000000000002,0.057999999999999996,0.77,0.095,0.052000000000000005,"43,754",0.04,0.085,0.2,0.13,0.047364672364672365,0.01103988603988604,0.026144034262836926,38.035,-78.4823
2,ALEXANDRIA CITY PBLC SCHS,16295,880.5,19,2,17924.35294,18.5,910.3,108.8,1357.9,592.5,0.42100000000000004,1.0,0.152,0.045,0.8947368421052632,0.174703131,0.188403042,0.68400073591,0.68400126226,0.05249279451,0.057168968320000006,0.2573741338,0.3255483347,0.37413380760000003,0.5138099106,0.2822714172,0.08732737612000001,0.05515935626,0.061246992779999995,0.2578731461,0.3248797113,0.3709687599,0.5059141941,0.2793941306,0.08991579791,0.8225,0.9199999999999999,0.88,0.6975,0.9450000000000001,0.82,0.96,0.93,0.69,0.97,0.1025,0.045,0.04,0.0275,0.1975,0.14,0.04,0.05,0.25,0.02,157613.0,100939.0,0.10300000000000001,0.436,0.16699999999999998,0.519,0.21100000000000002,0.057999999999999996,"71,005",0.054000000000000006,0.040999999999999995,0.084,0.077,0.059057275966018084,0.011921074266922444,0.04630328716539879,38.81542,-77.051671
3,ALLEGHANY CO PBLC SCHS,2024,154.3,5,1,11523.0,13.1,2024.0,89.2,190.9,421.7,0.6,1.0,0.07200000000000001,0.039,1.0,0.414248021,0.43431635399999996,0.06818181817999999,0.06967213115,0.00839920949,0.0,0.04150197628,0.05931198102000001,0.01828063241,0.01779359431,0.8824110672000001,0.8564650059000001,0.007172131149999999,0.0,0.04405737705,0.06708860758999999,0.01844262295,0.0164556962,0.8796106557000001,0.8481012658,0.93,,0.8724999999999999,,0.9325,0.97,,,,0.97,0.04,0.07250000000000001,,0.04,,0.02,,,,0.02,15157.0,47673.0,0.19699999999999998,0.074,0.015,0.915,0.057999999999999996,0.001,,,,,,0.04041720990873533,0.02998696219035202,0.050603681467308835,37.789012,-79.881608
4,AMELIA CO PBLC SCHS,1729,115.0,3,1,9530.666667,15.0,1729.0,123.5,172.9,432.2,0.33299999999999996,1.0,0.124,0.006999999999999999,1.0,0.27408993600000003,0.249376559,0.26054303875,0.2569145667,0.0023108029999999997,,0.2033506644,0.28110047850000003,0.05488157135,0.08133971292,0.6718659734000001,0.5442583732,0.0012292562999999999,,0.1942224954,0.27647058820000003,0.061462815000000004,0.07794117647,0.6607252612000001,0.5485294118,0.9450000000000001,,0.955,,0.9425,0.98,,0.97,1.0,0.98,0.04,0.0175,,0.045000000000000005,,0.01,,0.0,0.0,0.01,12953.0,57946.0,0.107,0.242,0.03,0.736,0.212,0.0,,,,,,0.08238636363636363,0.019886363636363636,0.027175171774878406,37.334092999999996,-77.988785
5,AMHERST CO PBLC SCHS,4115,296.2,9,1,10344.444440000001,13.9,1371.7,99.6,147.0,304.8,0.667,1.0,0.021,0.021,1.0,0.300103842,0.318777293,0.23426488457999997,0.22941903585999998,0.005589307410000001,0.0,0.18663426489999999,0.2555720654,0.04204131226999999,0.062407132239999996,0.6670716889,0.5577018326000001,0.0037082818299999996,0.0,0.18516687269999998,0.24518743669999998,0.040543881329999996,0.05977710233,0.6618046972,0.5668693009,0.915,,0.9075,,0.9299999999999999,0.95,,0.97,1.0,0.95,0.0425,0.0475,,0.0325,,0.03,,0.02,0.0,0.03,31775.0,52888.0,0.14,0.208,0.024,0.747,0.179,0.005,,,,,,0.028413028413028413,0.00693000693000693,0.04541306058221872,37.58227,-79.048071
6,APPOMATTOX CO PBLC SCHS,2279,154.3,4,1,9708.5,14.8,2279.0,101.3,175.3,303.9,0.5,1.0,0.107,0.11199999999999999,1.0,0.295275591,0.323586745,0.25537516456,0.24955985917,0.00175515577,0.0,0.2207108381,0.33272227309999997,0.032909170689999996,0.04491292392,0.6537955244,0.4922089826,0.0017605633800000001,0.0,0.2156690141,0.3330612245,0.03213028169,0.04489795918,0.6549295775,0.4906122449,0.935,,0.9624999999999999,,0.9275,0.91,,0.89,,0.91,0.035,0.0175,,0.04,,0.02,,0.03,,0.03,15707.0,58696.0,0.132,0.21499999999999997,0.017,0.767,0.19699999999999998,0.001,,,,,,0.04189944134078212,0.009776536312849162,0.04558477112115617,37.3552,-78.8294
7,ARLINGTON CO PBLC SCHS,28151,1921.1,41,2,18446.5625,14.7,612.0,85.2,150.5,339.2,0.195,1.0,0.036000000000000004,0.02,0.878048780487805,0.351256467,0.353017401,0.4746545416,0.48153393210999995,0.0908315868,0.12346304979999999,0.1010266065,0.19520851820000001,0.2827963483,0.5825833439,0.45138716209999996,0.07554823172000001,0.08947937241,0.1197506562,0.10300749079999999,0.20456036749999998,0.2890470689,0.5657808399,0.43975701559999997,0.08349737532999998,0.915,0.955,0.9375,0.795,0.9875,0.93,0.97,0.99,0.83,0.99,0.0575,0.0275,0.02,0.005,0.1575,0.05,0.01,0.01,0.14,0.0,233464.0,120071.0,0.068,0.34700000000000003,0.156,0.615,0.08900000000000001,0.102,"111,887",0.03,0.038,0.1,0.07400000000000001,0.0739404869251578,0.02040126239855726,0.03800157626015146,38.872682,-77.083473
8,AUGUSTA CO PBLC SCHS,10339,739.1,18,1,12494.85714,14.0,2067.8,277.9,165.7,552.9,0.5,1.0,0.027999999999999997,0.013999999999999999,1.0,0.37309769299999995,0.42305712799999995,0.09804679946,0.10679802955,0.01044285438,0.01043522525,0.028137690969999997,0.04250445406,0.059466254110000005,0.1028251463,0.8574743762999999,0.7826418936,0.010443349749999999,0.01140901312,0.031822660100000004,0.041642897889999995,0.0645320197,0.09127210496,0.8451231527,0.7826583001,0.9275000000000001,,0.8475,0.855,0.935,0.94,,0.94,0.94,0.94,0.04,0.07250000000000001,,0.030000000000000002,0.1,0.03,,0.06,0.06,0.03,75079.0,62711.0,0.087,0.07499999999999998,0.027999999999999997,0.907,0.040999999999999995,0.006,"29,951",0.122,0.084,0.22399999999999998,0.134,0.02298155427880254,0.008769277290595706,0.04404693722612182,38.19296,-79.01418100000001
9,BATH CO PBLC SCHS,529,51.7,3,1,17281.66667,10.2,,91.2,88.2,264.5,0.667,0.0,0.11599999999999999,0.028999999999999998,1.0,0.169398907,0.28,0.047258979199999995,0.057581573899999995,0.0056710775,0.0,0.028355387519999997,0.0,0.013232514179999998,0.0,0.9187145558,0.9522058823999999,0.00767754319,0.0,0.03071017274,0.03333333333,0.01919385797,0.0,0.9097888676,0.9233333333,0.9175,,,,0.905,0.94,,,,0.93,0.0425,,,0.0475,,0.06,,,,0.07,4307.0,49738.0,0.109,0.07,0.037000000000000005,0.892,0.03,0.003,,,,,,0.0196078431372549,0.0,0.03552356628743905,38.045289000000004,-79.78744
