division_name,19_20_amer_indian_or_alaska_disadv,19_20_asian_disadv,19_20_black_not_hisp_disadv,19_20_hisp_disadv,19_20_native_hawaiian_or_pacific_disadv,19_20_non_hisp_2_or_more_races_disadv,19_20_white_not_hisp_disadv,20_21_amer_indian_or_alaska__disadv,20_21_asian_disadv,20_21_black_not_hisp_disadv,20_21_hisp_disadv,20_21_native_hawaiian_or_pacific_disadv,20_21_non_hisp_2_or_more_races_disadv,20_21_white_not_hisp_disadv
Accomack County,0.0,15.0,1187.0,540.0,0.0,34.0,721.0,0.0,14.0,1076.0,467.0,0.0,39.0,639.0
Albemarle County,0.0,192.0,1040.0,1360.0,0.0,304.0,1342.0,0.0,192.0,985.0,1405.0,0.0,323.0,1373.0
Alexandria City,24.0,563.0,3206.0,5060.0,13.0,122.0,860.0,23.0,611.0,3241.0,5047.0,11.0,146.0,897.0
Alleghany County,0.0,0.0,50.0,15.0,,56.0,722.0,0.0,0.0,53.0,13.0,,54.0,670.0
Amelia County,0.0,,235.0,68.0,,78.0,455.0,,,188.0,53.0,,66.0,373.0
Amherst County,29.0,0.0,516.0,126.0,,222.0,1126.0,27.0,0.0,484.0,118.0,0.0,226.0,1119.0
Appomattox County,0.0,0.0,363.0,49.0,,142.0,537.0,0.0,0.0,408.0,55.0,,161.0,601.0
Arlington County,31.0,974.0,1540.0,4596.0,0.0,152.0,596.0,19.0,730.0,1247.0,3449.0,,142.0,509.0
Augusta County,11.0,41.0,167.0,404.0,0.0,231.0,3075.0,13.0,40.0,146.0,320.0,0.0,243.0,2744.0
Bath County,,0.0,0.0,0.0,,13.0,259.0,,0.0,10.0,0.0,0.0,13.0,277.0
Bedford County,12.0,60.0,527.0,208.0,0.0,271.0,2798.0,11.0,57.0,470.0,170.0,0.0,269.0,2452.0
Bland County,0.0,,0.0,0.0,,0.0,272.0,0.0,,0.0,0.0,,15.0,317.0
Botetourt County,0.0,10.0,41.0,135.0,,96.0,970.0,0.0,12.0,56.0,147.0,,101.0,1134.0
Bristol City,,0.0,50.0,35.0,0.0,73.0,607.0,0.0,0.0,133.0,68.0,0.0,161.0,1013.0
Brunswick County,0.0,0.0,694.0,28.0,,14.0,111.0,0.0,0.0,904.0,48.0,0.0,16.0,149.0
Buchanan County,0.0,0.0,0.0,0.0,0.0,0.0,1347.0,0.0,0.0,0.0,0.0,0.0,0.0,1200.0
Buckingham County,,0.0,502.0,54.0,,111.0,498.0,,,173.0,19.0,,33.0,144.0
Buena Vista City,0.0,,30.0,10.0,,21.0,311.0,0.0,,29.0,15.0,,28.0,349.0
Campbell County,25.0,45.0,871.0,258.0,0.0,302.0,2250.0,21.0,45.0,775.0,226.0,0.0,298.0,2059.0
Caroline County,10.0,19.0,683.0,250.0,0.0,229.0,943.0,0.0,16.0,708.0,268.0,0.0,225.0,888.0
Carroll County,0.0,0.0,24.0,230.0,,33.0,1901.0,0.0,0.0,17.0,162.0,,31.0,1843.0
Charles City County,13.0,,200.0,0.0,0.0,27.0,104.0,12.0,,160.0,0.0,0.0,30.0,99.0
Charlotte County,0.0,0.0,394.0,35.0,,93.0,490.0,0.0,0.0,349.0,26.0,,86.0,392.0
Charlottesville City,0.0,160.0,1025.0,306.0,,198.0,293.0,0.0,133.0,1007.0,301.0,,208.0,303.0
Chesapeake City,45.0,284.0,7751.0,1626.0,32.0,1088.0,3671.0,33.0,261.0,7072.0,1612.0,35.0,1048.0,3175.0
Chesterfield County,45.0,686.0,8779.0,7347.0,51.0,1253.0,6386.0,47.0,654.0,8903.0,7532.0,38.0,1303.0,5727.0
Clarke County,0.0,0.0,21.0,122.0,,53.0,260.0,0.0,0.0,23.0,119.0,,51.0,274.0
Colonial Beach,0.0,0.0,123.0,16.0,0.0,43.0,169.0,0.0,0.0,104.0,19.0,0.0,46.0,179.0
Colonial Heights City,0.0,50.0,463.0,201.0,0.0,154.0,760.0,0.0,53.0,505.0,199.0,0.0,167.0,766.0
Covington City,0.0,0.0,63.0,17.0,,41.0,221.0,0.0,0.0,50.0,17.0,,33.0,197.0
Craig County,,0.0,0.0,0.0,,0.0,309.0,,0.0,0.0,,,0.0,295.0
Culpeper County,16.0,35.0,694.0,1542.0,0.0,330.0,1323.0,18.0,35.0,703.0,1165.0,0.0,323.0,1279.0
Cumberland County,0.0,0.0,367.0,44.0,0.0,72.0,324.0,,,294.0,23.0,0.0,69.0,308.0
Danville City,0.0,24.0,2067.0,174.0,0.0,119.0,464.0,0.0,22.0,2160.0,165.0,0.0,102.0,413.0
Dickenson County,0.0,0.0,0.0,0.0,,0.0,991.0,0.0,,17.0,0.0,,0.0,994.0
Dinwiddie County,0.0,0.0,909.0,238.0,,144.0,992.0,0.0,0.0,948.0,253.0,0.0,171.0,1155.0
Essex County,0.0,18.0,534.0,55.0,0.0,81.0,184.0,0.0,20.0,511.0,46.0,,79.0,175.0
Fairfax County,195.0,7297.0,8723.0,31309.0,58.0,1088.0,6585.0,178.0,7006.0,8213.0,27179.0,44.0,1077.0,6294.0
Falls Church City,0.0,22.0,21.0,121.0,,0.0,34.0,0.0,22.0,21.0,119.0,,0.0,33.0
Fauquier County,0.0,36.0,464.0,1137.0,0.0,212.0,1087.0,0.0,31.0,412.0,984.0,0.0,196.0,971.0
Floyd County,0.0,0.0,22.0,70.0,,50.0,694.0,0.0,0.0,16.0,64.0,,43.0,674.0
Fluvanna County,0.0,0.0,325.0,133.0,0.0,142.0,706.0,0.0,0.0,334.0,144.0,0.0,163.0,710.0
Franklin City,0.0,0.0,610.0,15.0,,20.0,58.0,,,572.0,0.0,,18.0,60.0
Franklin County,0.0,13.0,361.0,345.0,0.0,318.0,2164.0,0.0,18.0,374.0,329.0,0.0,328.0,2115.0
Frederick County,11.0,83.0,260.0,1782.0,0.0,281.0,2329.0,10.0,80.0,239.0,1658.0,0.0,264.0,2108.0
Fredericksburg City,0.0,133.0,713.0,495.0,0.0,133.0,232.0,10.0,238.0,985.0,718.0,0.0,244.0,687.0
Galax City,0.0,0.0,71.0,373.0,,34.0,355.0,0.0,0.0,68.0,292.0,,38.0,349.0
Giles County,0.0,0.0,26.0,21.0,,23.0,1070.0,0.0,0.0,26.0,21.0,,19.0,1005.0
Gloucester County,0.0,0.0,218.0,149.0,0.0,189.0,1497.0,0.0,0.0,221.0,167.0,0.0,198.0,1555.0
Goochland County,0.0,0.0,199.0,109.0,,52.0,316.0,0.0,0.0,186.0,91.0,0.0,59.0,300.0
Grayson County,,0.0,44.0,108.0,,12.0,769.0,,0.0,42.0,92.0,,11.0,743.0
Greene County,0.0,23.0,119.0,190.0,,148.0,741.0,0.0,26.0,137.0,217.0,,169.0,842.0
Greensville County,0.0,14.0,1158.0,70.0,,40.0,124.0,0.0,27.0,1252.0,88.0,,40.0,137.0
Halifax County,0.0,10.0,1497.0,110.0,0.0,136.0,992.0,0.0,10.0,1349.0,97.0,,118.0,865.0
Hampton City,36.0,126.0,6031.0,597.0,15.0,776.0,1429.0,38.0,155.0,7081.0,710.0,24.0,884.0,1564.0
Hanover County,14.0,98.0,826.0,545.0,,311.0,2293.0,14.0,127.0,837.0,590.0,0.0,313.0,2444.0
Harrisonburg City,0.0,86.0,521.0,2607.0,0.0,169.0,1006.0,,85.0,512.0,2591.0,0.0,178.0,975.0
Henrico County,47.0,1365.0,11361.0,3587.0,23.0,978.0,3862.0,52.0,1473.0,12385.0,3680.0,25.0,1021.0,4140.0
Henry County,0.0,15.0,862.0,707.0,0.0,309.0,1864.0,0.0,16.0,1058.0,790.0,0.0,373.0,2037.0
Highland County,,,,0.0,,0.0,141.0,,,,0.0,,0.0,101.0
Hopewell City,15.0,19.0,1320.0,185.0,,12.0,431.0,23.0,34.0,2228.0,394.0,,70.0,806.0
