,nces_district_id,state_district_id,lea_name,students,teachers,schools,locale,student_teacher_ratio,percent_of_inexperienced_teachers,percent_of_out_of_field_teachers,student_school_psychologists_ratio,student_support_services_staff_ratio,student_school_counselors_ratio,student_librarians_media_specialists_ratio,percent_title_1_schools,percent_title_1_schoolwide_schools
0,5100060,VA-001,ACCOMACK CO PBLC SCHS,5161,320.0,13,Rural,16.1,8.9,8.1,1720.3,166.5,184.3,245.8,46.2,100.0
1,5100090,VA-002,ALBEMARLE CO PBLC SCHS,14404,1082.9,26,Rural,13.3,3.8,4.0,1210.4,57.8,135.2,481.7,23.1,0.0
2,5100120,VA-101,ALEXANDRIA CITY PBLC SCHS,16295,880.5,19,City,18.5,15.2,4.5,910.3,108.8,1357.9,592.5,42.1,100.0
3,5100152,VA-003,ALLEGHANY CO PBLC SCHS,2024,154.3,5,Rural,13.1,7.2,3.9,2024.0,89.2,190.9,421.7,60.0,100.0
4,5100180,VA-004,AMELIA CO PBLC SCHS,1729,115.0,3,Rural,15.0,12.4,0.7,1729.0,123.5,172.9,432.2,33.3,100.0
5,5100210,VA-005,AMHERST CO PBLC SCHS,4115,296.2,9,Rural,13.9,2.1,2.1,1371.7,99.6,147.0,304.8,66.7,100.0
6,5100240,VA-006,APPOMATTOX CO PBLC SCHS,2279,154.3,4,Rural,14.8,10.7,11.2,2279.0,101.3,175.3,303.9,50.0,100.0
7,5100270,VA-007,ARLINGTON CO PBLC SCHS,28151,1921.1,41,City,14.7,3.6,2.0,612.0,85.2,150.5,339.2,19.5,100.0
8,5100300,VA-008,AUGUSTA CO PBLC SCHS,10339,739.1,18,Rural,14.0,2.8,1.4,2067.8,277.9,165.7,552.9,50.0,100.0
9,5100330,VA-009,BATH CO PBLC SCHS,529,51.7,3,Rural,10.2,11.6,2.9,inf,91.2,88.2,264.5,66.7,0.0
10,5100360,VA-010,BEDFORD CO PBLC SCHS,9555,669.0,22,Rural,14.3,5.2,6.0,1365.0,159.0,167.6,316.4,36.4,100.0
11,5100390,VA-011,BLAND CO PBLC SCHS,693,51.8,2,Rural,13.4,1.6,6.5,3465.0,88.8,173.2,346.5,50.0,100.0
12,5100420,VA-012,BOTETOURT CO PBLC SCHS,4672,320.2,12,Rural,14.6,0.0,1.0,1557.3,131.2,179.7,389.3,41.7,0.0
13,5100450,VA-102,BRISTOL CITY PBLC SCHS,2255,158.0,7,Suburb,14.3,0.6,5.6,2255.0,563.8,161.1,451.0,57.1,100.0
14,5100480,VA-013,BRUNSWICK CO PBLC SCHS,1538,105.8,5,Rural,14.5,3.3,14.9,inf,219.7,207.8,307.6,100.0,100.0
15,5100510,VA-014,BUCHANAN CO PBLC SCHS,2676,192.2,9,Rural,13.9,3.4,0.4,5352.0,297.3,205.8,236.8,44.4,100.0
16,5100540,VA-015,BUCKINGHAM CO PBLC SCHS,2113,141.2,5,Rural,15.0,5.0,5.0,2113.0,257.7,211.3,201.2,40.0,100.0
17,5100560,VA-103,BUENA VISTA CITY PBLC SCHS,895,67.7,4,Rural,13.2,2.5,6.2,895.0,271.2,111.9,179.0,50.0,100.0
18,5100600,VA-016,CAMPBELL CO PBLC SCHS,7921,499.0,15,Rural,15.9,3.7,3.5,1584.2,287.0,249.1,370.1,46.7,100.0
19,5100660,VA-017,CAROLINE CO PBLC SCHS,4253,210.8,5,Rural,20.2,8.1,4.7,2126.5,223.8,184.9,425.3,40.0,100.0
20,5100690,VA-018,CARROLL CO PBLC SCHS,3713,289.2,11,Rural,12.8,6.8,3.1,1856.5,233.5,247.5,1687.7,63.6,100.0
21,5100720,VA-019,CHARLES CITY CO PBLC SCHS,620,54.5,2,Rural,11.4,6.2,4.6,inf,112.7,155.0,155.0,100.0,0.0
22,5100750,VA-020,CHARLOTTE CO PBLC SCHS,1763,126.5,5,Rural,13.9,8.5,9.2,inf,176.3,440.8,271.2,60.0,100.0
23,5100780,VA-104,CHARLOTTESVILLE CTY PBLC SCHS,4542,354.8,10,City,12.8,3.4,3.6,1135.5,45.2,126.2,1032.3,50.0,100.0
24,5100810,VA-136,CHESAPEAKE CITY PBLC SCHS,41597,2757.5,48,Suburb,15.1,2.9,0.6,2310.9,159.2,184.5,322.5,29.2,100.0
25,5100840,VA-021,CHESTERFIELD CO PBLC SCHS,62614,3970.2,69,Suburb,15.8,9.0,1.5,inf,66.2,184.8,531.1,31.9,100.0
26,5100870,VA-022,CLARKE CO PBLC SCHS,1924,141.2,4,Town,13.6,5.1,7.3,2405.0,43.0,137.4,481.0,50.0,0.0
27,5100930,VA-202,COLONIAL BEACH PBLC SCHS,652,38.6,2,Town,16.9,16.7,19.0,inf,296.4,163.0,543.3,50.0,0.0
28,5100960,VA-106,COLONIAL HEIGHTS CITY PBLC SCHS,2899,220.2,6,Suburb,13.2,2.4,0.8,1449.5,87.8,161.1,329.4,66.7,0.0
29,5100990,VA-107,COVINGTON CITY PBLC SCHS,1018,68.4,3,Town,14.9,13.1,0.0,inf,74.9,,2545.0,33.3,100.0
30,5101020,VA-023,CRAIG CO PBLC SCHS,588,50.3,2,Rural,11.7,11.7,0.0,588.0,96.4,147.0,2940.0,50.0,100.0
31,5101050,VA-024,CULPEPER CO PBLC SCHS,8516,560.3,11,Town,15.2,7.0,2.7,1703.2,76.0,193.5,283.9,27.3,100.0
32,5101080,VA-025,CUMBERLAND CO PBLC SCHS,1321,103.0,4,Rural,12.8,10.3,1.7,1321.0,330.2,220.2,1321.0,25.0,100.0
33,5101110,VA-108,DANVILLE CITY PBLC SCHS,5702,388.1,14,Town,14.7,5.8,8.8,inf,132.9,203.6,475.2,50.0,100.0
34,5101140,VA-026,DICKENSON CO PBLC SCHS,2064,141.9,5,Rural,14.5,5.7,0.0,2064.0,59.7,172.0,242.8,60.0,100.0
35,5101170,VA-027,DINWIDDIE CO PBLC SCHS,4347,274.0,7,Rural,15.9,6.3,1.4,1449.0,76.3,167.2,289.8,57.1,100.0
36,5101200,VA-028,ESSEX CO PBLC SCHS,1320,109.7,3,Town,12.0,16.0,10.4,1320.0,660.0,165.0,322.0,66.7,100.0
37,5101260,VA-029,FAIRFAX CO PBLC SCHS,188887,13132.5,221,Suburb,14.4,4.0,2.8,1104.6,86.6,153.5,697.0,21.3,100.0
38,5101290,VA-109,FALLS CHURCH CITY PBLC SCHS,2648,172.9,5,Suburb,15.3,2.3,1.4,882.7,59.5,132.4,420.3,20.0,0.0
39,5101320,VA-030,FAUQUIER CO PBLC SCHS,11181,869.3,20,Suburb,12.9,4.7,8.1,1863.5,76.1,162.0,219.2,25.0,20.0
40,5101350,VA-031,FLOYD CO PBLC SCHS,1919,121.8,5,Rural,15.8,3.5,7.0,inf,40.7,191.9,383.8,80.0,100.0
41,5101380,VA-032,FLUVANNA CO PBLC SCHS,3549,241.4,5,Rural,14.7,3.4,0.0,1774.5,100.0,161.3,319.7,60.0,100.0
42,5101410,VA-135,FRANKLIN CITY PBLC SCHS,1078,81.4,3,Town,13.2,3.3,15.2,1078.0,107.8,179.7,269.5,66.7,100.0
43,5101440,VA-033,FRANKLIN CO PBLC SCHS,6887,517.0,16,Town,13.3,5.2,1.8,1377.4,66.5,140.6,459.1,50.0,100.0
44,5101470,VA-034,FREDERICK CO PBLC SCHS,13875,972.6,18,Rural,14.3,3.7,1.4,1632.4,89.7,170.0,330.4,50.0,100.0
45,5101510,VA-110,FREDERICKSBURG CITY PBLC SCHS,3755,256.3,5,Suburb,14.7,9.6,2.7,1251.7,76.3,187.8,751.0,60.0,100.0
46,5101560,VA-111,GALAX CITY PBLC SCHS,1338,101.6,3,Town,13.2,7.8,9.6,1338.0,334.5,191.1,669.0,33.3,100.0
47,5101590,VA-035,GILES CO PBLC SCHS,2389,175.1,6,Town,13.6,3.7,1.9,2389.0,147.5,199.1,645.7,50.0,0.0
48,5101620,VA-036,GLOUCESTER CO PBLC SCHS,5306,376.7,9,Rural,14.1,3.0,0.0,1326.5,108.3,160.8,312.1,55.6,0.0
49,5101650,VA-037,GOOCHLAND CO PBLC SCHS,2619,205.5,5,Rural,12.7,6.4,3.2,1190.5,80.8,174.6,323.3,20.0,100.0
50,5101690,VA-038,GRAYSON CO PBLC SCHS,1556,122.5,7,Rural,12.7,9.7,5.7,1556.0,66.2,251.0,239.4,57.1,100.0
51,5101710,VA-039,GREENE CO PBLC SCHS,2976,188.5,7,Town,15.8,4.0,6.2,992.0,82.9,198.4,372.0,28.6,100.0
