division_name,19_20_american_indian_or_alaska_native,19_20_asian,19_20_black_not_hisp,19_20_hisp,19_20_native_hawaiian_or_pacific_islander,19_20_non_hisp_2_or_more_races,19_20_white_not_hisp,20_21_american_indian_or_alaska_native,20_21_asian,20_21_black_not_hisp,20_21_hisp,20_21_native_hawaiian_or_pacific_islander,20_21_non_hisp_2_or_more_races,20_21_white_not_hisp
Accomack County,6.0,35.0,1915.0,1224.0,6.0,63.0,1913.0,6.0,38.0,1817.0,1127.0,3.0,75.0,1798.0
Albemarle County,17.0,739.0,1586.0,2010.0,16.0,914.0,9153.0,16.0,763.0,1525.0,2015.0,14.0,885.0,8314.0
Alexandria City,32.0,856.0,4197.0,6101.0,22.0,496.0,4603.0,28.0,874.0,4086.0,5878.0,24.0,528.0,4427.0
Alleghany County,5.0,17.0,84.0,37.0,,95.0,1786.0,2.0,14.0,86.0,36.0,,97.0,1717.0
Amelia County,3.0,4.0,352.0,95.0,,114.0,1163.0,1.0,2.0,316.0,100.0,,133.0,1075.0
Amherst County,37.0,23.0,768.0,173.0,3.0,366.0,2745.0,41.0,15.0,749.0,164.0,4.0,395.0,2677.0
Appomattox County,1.0,4.0,503.0,75.0,,206.0,1490.0,1.0,4.0,490.0,73.0,,216.0,1488.0
Arlington County,52.0,2557.0,2844.0,7961.0,15.0,2015.0,12707.0,41.0,2401.0,2764.0,7756.0,9.0,2062.0,11800.0
Augusta County,28.0,108.0,291.0,615.0,9.0,423.0,8868.0,26.0,106.0,323.0,655.0,7.0,455.0,8578.0
Bath County,,3.0,15.0,7.0,1.0,17.0,486.0,,4.0,16.0,10.0,1.0,16.0,474.0
Bedford County,22.0,182.0,760.0,390.0,7.0,477.0,7724.0,23.0,170.0,738.0,375.0,5.0,488.0,7376.0
Bland County,2.0,,7.0,10.0,,17.0,657.0,2.0,,2.0,6.0,,19.0,641.0
Botetourt County,8.0,36.0,95.0,215.0,2.0,232.0,4084.0,6.0,41.0,94.0,217.0,,221.0,3852.0
Bristol City,2.0,20.0,147.0,90.0,2.0,180.0,1814.0,2.0,21.0,158.0,98.0,2.0,203.0,1730.0
Brunswick County,4.0,6.0,1175.0,62.0,3.0,22.0,266.0,4.0,7.0,1127.0,60.0,3.0,21.0,229.0
Buchanan County,2.0,6.0,12.0,16.0,2.0,19.0,2619.0,2.0,6.0,10.0,16.0,1.0,15.0,2466.0
Buckingham County,1.0,4.0,732.0,81.0,,173.0,1122.0,3.0,4.0,704.0,89.0,,169.0,1040.0
Buena Vista City,6.0,,46.0,20.0,2.0,41.0,780.0,10.0,,49.0,21.0,,43.0,793.0
Campbell County,35.0,99.0,1263.0,377.0,8.0,479.0,5660.0,32.0,106.0,1265.0,417.0,11.0,500.0,5456.0
Caroline County,15.0,32.0,1114.0,413.0,4.0,418.0,2257.0,16.0,32.0,1081.0,423.0,3.0,421.0,2155.0
Carroll County,6.0,11.0,30.0,271.0,,50.0,3345.0,10.0,9.0,25.0,206.0,,52.0,3250.0
Charles City County,35.0,,330.0,8.0,2.0,44.0,201.0,30.0,3.0,292.0,10.0,6.0,49.0,186.0
Charlotte County,2.0,6.0,490.0,44.0,,114.0,1107.0,1.0,7.0,497.0,43.0,,126.0,1052.0
Charlottesville City,2.0,280.0,1398.0,571.0,,399.0,1894.0,3.0,253.0,1360.0,561.0,,391.0,1691.0
Chesapeake City,118.0,1150.0,13409.0,4453.0,99.0,3302.0,19066.0,106.0,1146.0,12870.0,4469.0,86.0,3369.0,17627.0
Chesterfield County,118.0,2073.0,15893.0,11037.0,124.0,3152.0,30272.0,115.0,2048.0,16021.0,11393.0,105.0,3159.0,28063.0
Clarke County,1.0,18.0,58.0,193.0,,166.0,1490.0,1.0,17.0,56.0,203.0,,148.0,1320.0
Colonial Beach,5.0,8.0,155.0,24.0,1.0,69.0,390.0,7.0,6.0,131.0,28.0,6.0,77.0,379.0
Colonial Heights City,2.0,85.0,605.0,271.0,4.0,258.0,1674.0,3.0,88.0,653.0,279.0,4.0,245.0,1512.0
Covington City,5.0,7.0,138.0,51.0,2.0,68.0,747.0,5.0,7.0,123.0,58.0,2.0,69.0,752.0
Craig County,,2.0,3.0,4.0,,2.0,577.0,,2.0,3.0,2.0,,3.0,536.0
Culpeper County,33.0,117.0,1132.0,2113.0,2.0,619.0,4505.0,32.0,118.0,1170.0,2103.0,4.0,627.0,4202.0
Cumberland County,2.0,2.0,503.0,63.0,1.0,95.0,655.0,,2.0,483.0,49.0,1.0,94.0,594.0
Danville City,13.0,69.0,3892.0,491.0,4.0,179.0,1054.0,14.0,70.0,3793.0,481.0,4.0,174.0,969.0
Dickenson County,3.0,3.0,19.0,16.0,,9.0,2014.0,4.0,3.0,19.0,14.0,,10.0,1917.0
Dinwiddie County,5.0,13.0,1400.0,322.0,5.0,236.0,2366.0,4.0,12.0,1357.0,322.0,3.0,254.0,2257.0
Essex County,8.0,22.0,694.0,71.0,1.0,121.0,403.0,9.0,25.0,647.0,64.0,,110.0,369.0
Fairfax County,495.0,36761.0,18562.0,50686.0,239.0,10694.0,71493.0,461.0,35605.0,18059.0,48877.0,225.0,10603.0,66246.0
